GEOID,variable,estimate,moe
51001,B19013_001,46178,2575
51003,B19013_001,84643,3217
51005,B19013_001,48513,4275
51007,B19013_001,63918,6276
51009,B19013_001,57368,4546
51011,B19013_001,55457,5246
51013,B19013_001,122604,2627
51015,B19013_001,65076,3262
51017,B19013_001,55481,15306
51019,B19013_001,67136,3303
51021,B19013_001,50365,6513
51023,B19013_001,72719,4231
51025,B19013_001,46111,3642
51027,B19013_001,34302,3605
51029,B19013_001,48603,4866
51031,B19013_001,52319,2195
51033,B19013_001,67901,5308
51035,B19013_001,44518,3022
51036,B19013_001,60096,5918
51037,B19013_001,40924,4516
51041,B19013_001,84645,1549
51043,B19013_001,86154,13118
51045,B19013_001,57792,14772
51047,B19013_001,80663,3922
51049,B19013_001,50565,8447
51051,B19013_001,30116,4017
51053,B19013_001,65485,3706
51057,B19013_001,51125,5221
51059,B19013_001,127866,1462
51061,B19013_001,105665,5673
51063,B19013_001,51250,4673
51065,B19013_001,78885,4581
51067,B19013_001,56779,2707
51069,B19013_001,80011,3351
51071,B19013_001,57279,3121
51073,B19013_001,71649,4174
51075,B19013_001,97146,8582
51077,B19013_001,41558,4019
51079,B19013_001,67266,4701
51081,B19013_001,49756,5874
51083,B19013_001,43714,2535
51085,B19013_001,91444,3201
51087,B19013_001,72295,1863
51089,B19013_001,38511,2064
51091,B19013_001,51831,3904
51093,B19013_001,77870,5219
51095,B19013_001,91675,4509
51097,B19013_001,65385,12801
51099,B19013_001,96711,6085
51101,B19013_001,73284,6077
51103,B19013_001,59736,8165
51105,B19013_001,35006,4424
51107,B19013_001,147111,3537
51109,B19013_001,67027,6008
51111,B19013_001,45884,5418
51113,B19013_001,63482,5830
51115,B19013_001,74489,16802
51117,B19013_001,50224,2884
51119,B19013_001,57060,2970
51121,B19013_001,59126,2531
51125,B19013_001,62203,10320
51127,B19013_001,97688,10453
51131,B19013_001,50819,8343
51133,B19013_001,59437,6569
51135,B19013_001,49983,5315
51137,B19013_001,74446,4522
51139,B19013_001,51878,3159
51141,B19013_001,46941,6316
51143,B19013_001,49520,2158
51145,B19013_001,93833,5342
51147,B19013_001,44253,7932
51149,B19013_001,75123,5629
51153,B19013_001,107707,1639
51155,B19013_001,53689,2940
51157,B19013_001,82077,8789
51159,B19013_001,53298,5454
51161,B19013_001,70076,1930
51163,B19013_001,54133,4062
51165,B19013_001,64496,2047
51167,B19013_001,38564,4069
51169,B19013_001,41540,2652
51171,B19013_001,56114,3163
51173,B19013_001,41088,2716
51175,B19013_001,63034,5660
51177,B19013_001,90913,3066
51179,B19013_001,112247,3806
51181,B19013_001,56525,4961
51183,B19013_001,51701,4106
51185,B19013_001,42207,3080
51187,B19013_001,70109,5763
51191,B19013_001,50928,2680
51193,B19013_001,53790,6784
51195,B19013_001,41285,4656
51197,B19013_001,51639,4880
51199,B19013_001,93356,2997
51510,B19013_001,102227,2530
51520,B19013_001,39679,4383
51530,B19013_001,36634,6924
51540,B19013_001,59598,4877
51550,B19013_001,81261,2200
51570,B19013_001,60522,5888
51580,B19013_001,41024,4817
51590,B19013_001,37147,2784
51595,B19013_001,30058,6086
51600,B19013_001,109708,10496
51610,B19013_001,146922,10939
51620,B19013_001,49811,5437
51630,B19013_001,69528,6038
51640,B19013_001,35184,4709
51650,B19013_001,57041,2127
51660,B19013_001,49117,2123
51670,B19013_001,43262,3530
51678,B19013_001,50714,16894
51680,B19013_001,49201,1690
51683,B19013_001,86227,3359
51685,B19013_001,81639,11805
51690,B19013_001,36166,4646
51700,B19013_001,54511,1746
51710,B19013_001,53026,1033
51720,B19013_001,30518,11320
51730,B19013_001,43029,2641
51735,B19013_001,100696,6185
51740,B19013_001,53213,1956
51750,B19013_001,34576,5609
51760,B19013_001,51421,1853
51770,B19013_001,45664,1641
51775,B19013_001,63411,5173
51790,B19013_001,52292,3116
51800,B19013_001,79899,3566
51810,B19013_001,78136,1419
51820,B19013_001,43480,3487
51830,B19013_001,59288,5801
51840,B19013_001,61102,4170
